title,description,employer,location,job_url,tags,featured
Industrial Data Engineer,"Industrial Data Engineer at Fronius in Monterrey, Mexico.",Fronius,"Monterrey, Mexico",https://rejobs.org/en/renewable-energy-jobs/111674-industrial-data-engineer-fronius,Photovoltaic Systems | Power Electronics | Industrial Engineering,False
Computer Graphics & Visualization Engineer,Join Thea Energy in New Jersey as a Graphics & Visualization Engineer.,Thea Energy,"Kearny, New Jersey, United States",https://rejobs.org/en/renewable-energy-jobs/112201-computer-graphics-visualization-engineer-thea-energy,Clean Energy Solutions | Engineering Management,False
Solar Appointment Setter,Join Sunrun in Hartford as a Solar Appointment Setter.,Sunrun,"Hartford, Connecticut, United States",https://rejobs.org/en/renewable-energy-jobs/111516-solar-appointment-setter-sunrun,Community Solar | Photovoltaic Systems | Solar Installation | Solar O&M | Solar Resource Assessment | Energy Access,False
"Manager, Policy and Regulatory Affairs","Manager, Policy and Regulatory Affairs at EnergyHub, USA.",EnergyHub,United States,https://rejobs.org/en/renewable-energy-jobs/112282-manager-policy-and-regulatory-affairs-energyhub,Transportation Electrification | Energy Policy | Regulatory Compliance | Stakeholder Management | Demand Response | Distributed Energy Resources,False
"Engineer I, Firmware Development","Firmware Engineer I at Landis+Gyr in Alpharetta, USA.",Landis+Gyr,"Alpharetta, United States",https://rejobs.org/en/renewable-energy-jobs/111687-engineer-i-firmware-development-landisgyr,Power Electronics | Agile Methodologies,False
Wind Turbine Service Technician - Onshore & Offshore,"Wind Turbine Service Technician at Global Wind Service in Bremen, Germany.",Global Wind Service,"Bremen, Germany",https://rejobs.org/en/renewable-energy-jobs/111841-wind-turbine-service-technician-onshore-offshore-global-wind-service,Blade Maintenance | Turbine Operations | Wind O&M | Commissioning | Safety Management | Onshore Wind Energy | Offshore Wind Energy,False
Director of Procurement,Director of Procurement at Scale Microgrid Solutions in Ridgewood or Oakland.,Scale Microgrid Solutions,"Ridgewood, New Jersey, United States",https://rejobs.org/en/renewable-energy-jobs/112179-director-of-procurement-scale-microgrid-solutions,Distributed Energy Resources | Energy Asset Valuation | Procurement | Vendor Management | Supply Chain Management,False
Senior Electrical Engineer,Senior Electrical Engineer at Signal Energy in Houston or Chattanooga.,Signal Energy LLC,"Houston, Texas, United States",https://rejobs.org/en/renewable-energy-jobs/112157-senior-electrical-engineer-signal-energy-llc,Battery Technology | Distributed Energy Resources | EPC Management | Photovoltaic Systems | Power Electronics | Utility-Scale Solar,False
PhD Position Power-Digital Transmitter (DTX) Design,"PhD in Power-Digital Transmitter design at TU Delft, Netherlands.",TU Delft,"Delft, the Netherlands",https://rejobs.org/en/renewable-energy-jobs/112350-phd-position-power-digital-transmitter-dtx-design-tu-delft,Power Electronics | Science & Research,False
Vessel Manager,"Vessel Manager at RWE Renewables in the UK, managing offshore wind fleet vessels.",RWE Renewables,"Grimsby, United Kingdom",https://rejobs.org/en/renewable-energy-jobs/111456-vessel-manager-rwe-renewables,Health & Safety | Vendor Management | Offshore Wind Energy,False
Financial Accountant,Financial Accountant at Econergy in London supporting European finance.,Econergy Renewable Energy,"London, United Kingdom",https://rejobs.org/en/renewable-energy-jobs/112181-financial-accountant-econergy-renewable-energy,Energy Asset Valuation | Compliance | Accounting & Finance,False
"Specialist, demand generation","Demand Generation Specialist at Power Factors in Seville, Spain.",Power Factors,"Seville, Spain",https://rejobs.org/en/renewable-energy-jobs/112034-specialist-demand-generation-power-factors,Energy Analytics | Clean Energy Innovation | Demand Response,False
Environmental & Permitting Manager / Senior Manager,Join SB Energy as Environmental & Permitting Manager in the US.,SB Energy,"Colorado, United States",https://rejobs.org/en/renewable-energy-jobs/112289-environmental-permitting-manager-senior-manager-sb-energy,Business Development | Energy Economics | Energy Policy | Environmental Impact Assessment | Regulatory Compliance | Market Analysis | Project Management,False
Graduate Program - Information Technology,"Join TransGrid's IT Graduate Program in Sydney, Australia.",TransGrid,"Sydney, Australia",https://rejobs.org/en/renewable-energy-jobs/112421-graduate-program-information-technology-transgrid,Clean Energy Solutions | Energy Access | Talent Acquisition & Management,False
Digital Specialist,"Digital Specialist at The Climate Reality Project in Washington, D.C.",The Climate Reality Project,"Washington, D.C., United States",https://rejobs.org/en/renewable-energy-jobs/111925-digital-specialist-the-climate-reality-project,Energy Analytics | Climate Adaptation | Digital Marketing,False
Engineering Manager,Engineering Manager at EnergyHub in the US driving clean energy software.,EnergyHub,United States,https://rejobs.org/en/renewable-energy-jobs/112281-engineering-manager-energyhub,Distributed Energy Resources | Software Development,False
Legal Counsel - Corporate,"Legal Counsel at Econergy in Kfar Saba, Israel.",Econergy Renewable Energy,"Kfar Saba, Israel",https://rejobs.org/en/renewable-energy-jobs/112182-legal-counsel-corporate-econergy-renewable-energy,Commercial Management | Energy Policy | Regulatory Compliance | Energy Governance,False
Energy Project Development (Senior Manager or Director),"Lead energy project development at Antora Energy, US.",Antora Energy,United States,https://rejobs.org/en/renewable-energy-jobs/112139-energy-project-development-senior-manager-or-director-antora-energy,Battery Technology | EPC Management | Long Duration Energy Storage | Utility-Scale Solar | Business Development,False
Co-op - Product and Technologies Fall 2026,"Co-op at Landis+Gyr in Alpharetta, US.",Landis+Gyr,"Alpharetta, United States",https://rejobs.org/en/renewable-energy-jobs/111688-co-op-product-and-technologies-fall-2026-landisgyr,Energy Analytics | Smart Energy Systems | Product Development,False
"Recruiter - DF Engineers, Renewable Electricians, Construction Managers","Recruiter at Fuse Energy in London, hiring renewable energy trades.",Fuse Energy,"London, United Kingdom",https://rejobs.org/en/renewable-energy-jobs/112231-recruiter-df-engineers-renewable-electricians-construction-managers-fuse-energy,Energy Access | Energy Resilience | Recruitment | Project Management,False
Wind Technician,"Wind Technician at Clearway Energy in Woodward, OK.",Clearway Energy Group,"Woodward, Oklahoma, United States",https://rejobs.org/en/renewable-energy-jobs/112018-wind-technician-clearway-energy-group,Onshore Wind Energy | Turbine Operations | Wind O&M | Safety Management | Wind Turbine Technician,False
Accounting and Tax Director (m/w/d),Accounting and Tax Director at ib vogt in Berlin.,ib vogt,"Berlin, Germany",https://rejobs.org/en/renewable-energy-jobs/111899-accounting-and-tax-director-mwd-ib-vogt,Energy Governance | Energy Policy | Accounting & Finance,False
Monitoring and Evaluation (M&E) Manager - Data and Insights,"M&E Manager at SELCO Foundation in Bengaluru, India.",SELCO Foundation,"Bengaluru, India",https://rejobs.org/en/renewable-energy-jobs/112257-monitoring-and-evaluation-me-manager-data-and-insights-selco-foundation,Energy Access | Public Health | Monitoring and Control Systems,False
Mechanical Supervisor,"Mechanical Supervisor at Enviva in Hamlet, NC.",Enviva,"Hamlet, North Carolina, United States",https://rejobs.org/en/renewable-energy-jobs/111893-mechanical-supervisor-enviva,Bioenergy | Maintenance | Safety Management | Equipment Management,False
Head of Sales Americas (US based),"Lead ACCURE's Americas sales from the US, driving growth in clean energy batteries.",ACCURE Battery Intelligence,United States,https://rejobs.org/en/renewable-energy-jobs/112312-head-of-sales-americas-us-based-accure-battery-intelligence,Battery Management Systems | Battery Technology | Clean Energy Solutions | Sales and Marketing,False
Interim Global Campaigns & Networks Director,"Lead global campaigns remotely with 350.org, driving climate action.",350.org,"London, United Kingdom",https://rejobs.org/en/renewable-energy-jobs/112276-interim-global-campaigns-networks-director-350org,Climate Adaptation | Community Energy | Energy Justice | Energy Policy | Organizational Development | Stakeholder Management,False
R&D Project Manager,"R&D Project Manager at Fronius in Portage, Indiana.",Fronius,"Portage, Indiana, United States",https://rejobs.org/en/renewable-energy-jobs/111682-rd-project-manager-fronius,EPC Management | Photovoltaic Systems | Power Electronics | Solar Installation | Solar O&M | Project Management,False
Senior Electrical Engineer,"Senior Electrical Engineer at Eos Energy in Edison, USA.",Eos Energy Enterprises,"Edison, United States",https://rejobs.org/en/renewable-energy-jobs/112126-senior-electrical-engineer-eos-energy-enterprises,Battery Technology | Distributed Energy Resources | Power Electronics | Battery Management Systems,False
"Senior Manager, Financial Planning & Analysis",Senior Manager FP&A at Power Factors in Boston.,Power Factors,"Boston, Massachusetts, United States",https://rejobs.org/en/renewable-energy-jobs/112032-senior-manager-financial-planning-analysis-power-factors,Energy Analytics | AI for Energy | Energy Policy,False
Domestic PV Electrician,Join Good Energy as a Domestic PV Electrician in Kent.,Good Energy,"Kent, United Kingdom",https://rejobs.org/en/renewable-energy-jobs/112146-domestic-pv-electrician-good-energy,Battery Technology | Photovoltaic Systems | Power Electronics | Health & Safety | Solar Installation | EV Charging Infrastructure,False
Community Place Manager,"Community Place Manager at TransGrid in Tamworth, Australia.",TransGrid,"Tamworth, NSW, Australia",https://rejobs.org/en/renewable-energy-jobs/112417-community-place-manager-transgrid,Environmental Management | Infrastructure Development | Community Energy | Stakeholder Management,False
Real Estate Acquisitions Lead,"Join TeraWatt Infrastructure as a Real Estate Acquisitions Lead in San Francisco, California. Manage deal pipelines and collaborate across teams to secure land for EV charging hubs.",TeraWatt Infrastructure,"San Francisco, California, United States",https://rejobs.org/en/renewable-energy-jobs/111092-real-estate-acquisitions-lead-terawatt-infrastructure,Energy Economics | Project Management | EV Charging Infrastructure,False
Project Developer,"Join Econergy as a Project Developer in Milan, Italy.",Econergy Renewable Energy,"Milan, Italy",https://rejobs.org/en/renewable-energy-jobs/110961-project-developer-econergy,EPC Management | Photovoltaic Systems | Energy Due Diligence | Stakeholder Management | Permitting | Project Management,False
Planning & Control Specialist (m/w/d),"Join Nadara as a Planning & Control Specialist in Milan, Italy.",Nadara,"Milan, Italy",https://rejobs.org/en/renewable-energy-jobs/110764-planning-control-specialist-mwd-nadara,Energy Auditing | Energy Economics | Project Management,False
Scada Technician (m/w/d),"Join Vestas as a SCADA Technician in Aarhus, Denmark!",Vestas,"Aarhus, Denmark",https://rejobs.org/en/renewable-energy-jobs/110499-scada-technician-mwd-vestas,Power Electronics | Wind O&M | Wind Turbine Technician | Technical Support | SCADA | Cybersecurity,False
Product Lead Trading Infrastructure (m/f/d),"Join ENCAVIS as Product Lead Trading Infrastructure in Hamburg, Germany. Drive the development of trading systems for renewable energy. Enjoy flexible working, health benefits, and a great office location.",ENCAVIS,"Hamburg, Germany",https://rejobs.org/en/renewable-energy-jobs/111199-product-lead-trading-infrastructure-mfd-encavis-gmbh,Virtual Power Plant | Analytics | Energy Trading | Product Development,False
HV Training and Technical Support Specialist (m/w/d),"Join SOLV Energy as an HV Training and Technical Support Specialist in San Diego, California. Ensure safety and provide technical training for high voltage operations.","SOLV Energy, LLC","San Diego, California, United States",https://rejobs.org/en/renewable-energy-jobs/110824-hv-training-and-technical-support-specialist-mwd-solv-energy-llc,EPC Management | High Voltage | Safety Management,False
Revenue Operations Manager,"Join Lunar Energy as a Revenue Operations Manager in Mountain View, California, and drive efficiency in revenue systems.",Lunar Energy,"Mountain View, California, United States",https://rejobs.org/en/renewable-energy-jobs/110925-revenue-operations-manager-lunar-energy,Clean Energy Innovation | Customer Management | Production Planning | Analytics,False
